candidate,turbine_id,horizon,n,rmse,mae,bias
affine_wind,1,1-24,740,0.26519532929287304,0.19379907318319775,0.018106005328007515
affine_wind,1,25-48,740,0.2816750800480013,0.20631554363873622,0.003998645760073841
affine_wind,1,1-48,1480,0.27355932939565714,0.20005730841096703,0.011052325544040672
affine_wind,2,1-24,734,0.2705121687108696,0.19650669887292938,0.020948430888188676
affine_wind,2,25-48,734,0.2868503838609268,0.20878135220051836,0.006898129052965706
affine_wind,2,1-48,1468,0.2788009829087938,0.20264402553672387,0.013923279970577195
catboost_gfs,1,1-24,740,0.29086562892966983,0.22123925172375863,0.06859713563358001
catboost_gfs,1,25-48,740,0.3006786350886424,0.23396004919791644,0.05390310531736677
catboost_gfs,1,1-48,1480,0.2958128256950849,0.22759965046083752,0.06125012047547339
catboost_gfs,2,1-24,734,0.2952224831961909,0.2244442220553078,0.0711564016245068
catboost_gfs,2,25-48,734,0.3051773376264673,0.23668154598685406,0.05623789948425126
catboost_gfs,2,1-48,1468,0.3002411713816944,0.2305628840210809,0.06369715055437904
raw_empirical,1,1-24,740,0.2940424340997792,0.20793780775490706,-0.1290485015237132
raw_empirical,1,25-48,740,0.31633338889936163,0.22880658698655332,-0.143429239886698
raw_empirical,1,1-48,1480,0.3053913603754024,0.21837219737073016,-0.13623887070520557
raw_empirical,2,1-24,734,0.3030656749886006,0.21276490672312964,-0.13334901667273028
raw_empirical,2,25-48,734,0.3235266364811388,0.23281497618163563,-0.14707914445125203
raw_empirical,2,1-48,1468,0.3134631460547595,0.22278994145238265,-0.14021408056199114
