forecast_origin_utc,valid_time_utc,lead_hours,utc_offset_hours,timezone_hypothesis,valid_time_naive,model,1,2
2026-01-31 18:00:00+00:00,2026-01-31 19:00:00+00:00,1,5,UTC+5,2026-02-01 00:00:00,catboost,0.009944233829088323,0.008803932066321574
2026-01-31 18:00:00+00:00,2026-01-31 19:00:00+00:00,1,5,UTC+5,2026-02-01 00:00:00,empirical_curve,0.009998505440305937,0.009987947088760217
2026-01-31 18:00:00+00:00,2026-01-31 19:00:00+00:00,1,5,UTC+5,2026-02-01 00:00:00,training_mean,0.3736853865525423,0.36829703959695215
2026-01-31 18:00:00+00:00,2026-01-31 20:00:00+00:00,2,5,UTC+5,2026-02-01 01:00:00,catboost,0.009944233829088323,0.009032147302360627
2026-01-31 18:00:00+00:00,2026-01-31 20:00:00+00:00,2,5,UTC+5,2026-02-01 01:00:00,empirical_curve,0.00997765124191914,0.009871709411758493
2026-01-31 18:00:00+00:00,2026-01-31 20:00:00+00:00,2,5,UTC+5,2026-02-01 01:00:00,training_mean,0.3736853865525423,0.36829703959695215
2026-01-31 18:00:00+00:00,2026-01-31 21:00:00+00:00,3,5,UTC+5,2026-02-01 02:00:00,catboost,0.009262704755030104,0.007885755094851565
2026-01-31 18:00:00+00:00,2026-01-31 21:00:00+00:00,3,5,UTC+5,2026-02-01 02:00:00,empirical_curve,0.013356724702162573,0.011822133914916924
2026-01-31 18:00:00+00:00,2026-01-31 21:00:00+00:00,3,5,UTC+5,2026-02-01 02:00:00,training_mean,0.3736853865525423,0.36829703959695215
2026-01-31 18:00:00+00:00,2026-01-31 22:00:00+00:00,4,5,UTC+5,2026-02-01 03:00:00,catboost,0.015973183859351203,0.010825958005532321
2026-01-31 18:00:00+00:00,2026-01-31 22:00:00+00:00,4,5,UTC+5,2026-02-01 03:00:00,empirical_curve,0.043279424377493936,0.03854690896644096
2026-01-31 18:00:00+00:00,2026-01-31 22:00:00+00:00,4,5,UTC+5,2026-02-01 03:00:00,training_mean,0.3736853865525423,0.36829703959695215
2026-01-31 18:00:00+00:00,2026-01-31 23:00:00+00:00,5,5,UTC+5,2026-02-01 04:00:00,catboost,0.04041997328609065,0.028036517444494535
2026-01-31 18:00:00+00:00,2026-01-31 23:00:00+00:00,5,5,UTC+5,2026-02-01 04:00:00,empirical_curve,0.08515716843076256,0.07906003128260873
2026-01-31 18:00:00+00:00,2026-01-31 23:00:00+00:00,5,5,UTC+5,2026-02-01 04:00:00,training_mean,0.3736853865525423,0.36829703959695215
2026-01-31 18:00:00+00:00,2026-02-01 00:00:00+00:00,6,5,UTC+5,2026-02-01 05:00:00,catboost,0.10679207284648207,0.080090154025731
2026-01-31 18:00:00+00:00,2026-02-01 00:00:00+00:00,6,5,UTC+5,2026-02-01 05:00:00,empirical_curve,0.143584141631683,0.13291418405573563
2026-01-31 18:00:00+00:00,2026-02-01 00:00:00+00:00,6,5,UTC+5,2026-02-01 05:00:00,training_mean,0.3736853865525423,0.36829703959695215
2026-01-31 18:00:00+00:00,2026-02-01 01:00:00+00:00,7,5,UTC+5,2026-02-01 06:00:00,catboost,0.12918925830890743,0.10511458666915224
2026-01-31 18:00:00+00:00,2026-02-01 01:00:00+00:00,7,5,UTC+5,2026-02-01 06:00:00,empirical_curve,0.17267039095936057,0.1599585844587881
2026-01-31 18:00:00+00:00,2026-02-01 01:00:00+00:00,7,5,UTC+5,2026-02-01 06:00:00,training_mean,0.3736853865525423,0.36829703959695215
2026-01-31 18:00:00+00:00,2026-02-01 02:00:00+00:00,8,5,UTC+5,2026-02-01 07:00:00,catboost,0.14731335748111837,0.12055994930951552
